language,task,predictor,vif
en_ewt,upos,z_n_subwords,1.3779824099346802
en_ewt,upos,z_char_length,1.9529038011850421
en_ewt,upos,z_log_freq,1.8884803797567051
en_ewt,number,z_n_subwords,1.4298367347969083
en_ewt,number,z_char_length,1.1829187188049737
en_ewt,number,z_log_freq,1.3965954342181928
it_isdt,upos,z_n_subwords,1.464266731716758
it_isdt,upos,z_char_length,3.0737056777539093
it_isdt,upos,z_log_freq,3.138317011316029
it_isdt,number,z_n_subwords,1.4548912997703787
it_isdt,number,z_char_length,1.1900633677865695
it_isdt,number,z_log_freq,1.3563503328413082
pl_pdb,upos,z_n_subwords,1.8696393823226984
pl_pdb,upos,z_char_length,2.7216021563171355
pl_pdb,upos,z_log_freq,2.807175397753917
pl_pdb,number,z_n_subwords,1.4040499900990004
pl_pdb,number,z_char_length,1.219093014870803
pl_pdb,number,z_log_freq,1.2947179508767312
