language,task,probe,layer,acc_A,acc_B,f1_A,f1_B,delta_acc,delta_f1,n_train,n_test,n_iter_A,n_iter_B,converged_A,converged_B,fit_s_A,fit_s_B
en_ewt,upos,logreg_C1,4,0.9545234737054201,0.8143864598025388,0.9160095328560062,0.605157824104558,0.14013701390288136,0.3108517087514482,146817,49630,137,123,True,True,771.7,401.5
en_ewt,number,logreg_C1,4,0.9931844888366628,0.9881316098707403,0.9906035771057616,0.9836010090060607,0.005052878965922436,0.007002568099700901,24841,8510,35,38,True,True,0.9,0.9
it_isdt,upos,logreg_C1,4,0.975381461641107,0.7334893345452436,0.8459357133747514,0.5675661073481073,0.24189212709586339,0.27836960602664407,153848,51709,136,155,True,True,475.3,4007.1
it_isdt,number,logreg_C1,4,0.995085995085995,0.9932659932659933,0.994321095018087,0.9922213968606808,0.0018200018200017487,0.0020996981574061824,32289,10989,26,24,True,True,5.2,2.9
pl_pdb,upos,logreg_C1,4,0.9745610301890418,0.8449362309688225,0.8967450918822089,0.6182350930204821,0.1296247992202193,0.2785099988617268,196499,72841,121,155,True,True,531.9,1974.1
pl_pdb,number,logreg_C1,4,0.9717283590789857,0.9648498979889245,0.9647838337290815,0.9561875043256225,0.006878461090061183,0.008596329403459002,50373,17155,47,48,True,True,2.2,1.8
en_ewt,upos,logreg_C1,11,0.9567801732822889,0.8680636711666331,0.9144642244179391,0.667643184585579,0.08871650211565585,0.24682103983236003,146817,49630,120,113,True,True,472.6,388.6
en_ewt,number,logreg_C1,11,0.9900117508813161,0.9820211515863689,0.9862223590304099,0.975055506445752,0.007990599294947165,0.011166852584657883,24841,8510,35,33,True,True,2.0,1.4
it_isdt,upos,logreg_C1,11,0.9767158521727359,0.8446498675278965,0.8628203867928514,0.6313533707651449,0.13206598464483943,0.23146701602770658,153848,51709,160,176,True,True,591.5,863.9
it_isdt,number,logreg_C1,11,0.9936299936299936,0.9923559923559924,0.9926304785541493,0.9911524547874947,0.0012740012740012352,0.0014780237666546236,32289,10989,28,25,True,True,1.0,1.1
pl_pdb,upos,logreg_C1,11,0.978748232451504,0.8450597877568952,0.8439556009382165,0.6090861576719443,0.13368844469460883,0.23486944326627224,196499,72841,137,133,True,True,784.9,640.2
pl_pdb,number,logreg_C1,11,0.9888079277178665,0.9844360244826581,0.9861237661511499,0.9806354075275217,0.004371903235208419,0.005488358623628287,50373,17155,48,54,True,True,7.6,5.2
