language,task,probe,layer,acc_A,acc_B,f1_A,f1_B,delta_acc,delta_f1,n_train,n_test,n_iter_A,n_iter_B,converged_A,converged_B,fit_s_A,fit_s_B,base_f1_B,base_delta_f1,f1_B_vs_base,delta_f1_vs_base
en_ewt,upos,mlp_256,8,0.9673786016522264,0.872315131976627,0.932624988878102,0.6814729212386045,0.0950634696755994,0.2511520676394975,146817,49630,55,49,True,True,560.6,588.1,0.677385213261955,0.24182764028275405,0.0040877079766494795,0.009324427356743437
en_ewt,number,mlp_256,8,0.9952996474735604,0.9942420681551116,0.9935064583269906,0.992035892286699,0.0010575793184488,0.0014705660402916,24841,8510,21,23,True,True,26.5,30.3,0.9813215038417695,0.006513477552184677,0.010714388444929446,-0.005042911511893076
it_isdt,upos,mlp_256,8,0.9801775319576864,0.8066294068730782,0.8427699484250395,0.6585673051836689,0.1735481250846081,0.1842026432413706,153848,51709,43,48,True,True,405.3,422.2,0.6825533591798919,0.17741634920569505,-0.023986053996223,0.006786294035675544
it_isdt,number,mlp_256,8,0.9974519974519974,0.9967239967239968,0.997049441786284,0.9962087838790994,0.0007280007280007,0.0008406579071844,32289,10989,17,20,True,True,27.8,33.2,0.9899212381771281,0.005338637130575474,0.00628754570197132,-0.004497979223391074
pl_pdb,upos,mlp_256,8,0.9842808308507572,0.8758940706470257,0.9124985782933556,0.708613789028392,0.1083867602037313,0.2038847892649635,196499,72841,38,47,True,True,464.6,777.1,0.6220662080359765,0.2825645353426023,0.08654758099241555,-0.07867974607763878
pl_pdb,number,mlp_256,8,0.9918974060040804,0.9886913436315944,0.989956100034783,0.985945183584982,0.0032060623724862,0.004010916449801,50373,17155,19,20,True,True,45.9,47.7,0.981771204134279,0.004645103500447334,0.004173979450702969,-0.000634187050646334
en_ewt,upos,logreg_C1,4,0.95452347370542,0.8143864598025388,0.9160095328560062,0.605157824104558,0.1401370139028813,0.3108517087514482,146817,49630,137,123,True,True,771.7,401.5,0.677385213261955,0.24182764028275405,-0.07222738915739702,0.06902406846869413
en_ewt,number,logreg_C1,4,0.9931844888366628,0.9881316098707404,0.9906035771057616,0.9836010090060608,0.0050528789659224,0.0070025680997009,24841,8510,35,38,True,True,0.9,0.9,0.9813215038417695,0.006513477552184677,0.0022795051642913178,0.0004890905475162235
it_isdt,upos,logreg_C1,4,0.975381461641107,0.7334893345452436,0.8459357133747514,0.5675661073481073,0.2418921270958633,0.278369606026644,153848,51709,136,155,True,True,475.3,4007.1,0.6825533591798919,0.17741634920569505,-0.1149872518317846,0.10095325682094897
it_isdt,number,logreg_C1,4,0.995085995085995,0.9932659932659932,0.994321095018087,0.9922213968606808,0.0018200018200017,0.0020996981574061,32289,10989,26,24,True,True,5.2,2.9,0.9899212381771281,0.005338637130575474,0.002300158683552711,-0.0032389389731693743
pl_pdb,upos,logreg_C1,4,0.9745610301890418,0.8449362309688225,0.8967450918822089,0.6182350930204821,0.1296247992202193,0.2785099988617268,196499,72841,121,155,True,True,531.9,1974.1,0.6220662080359765,0.2825645353426023,-0.0038311150154943796,-0.0040545364808755036
pl_pdb,number,logreg_C1,4,0.9717283590789856,0.9648498979889244,0.9647838337290816,0.9561875043256224,0.0068784610900611,0.008596329403459,50373,17155,47,48,True,True,2.2,1.8,0.981771204134279,0.004645103500447334,-0.0255836998086566,0.003951225903011666
en_ewt,upos,logreg_C1,11,0.9567801732822888,0.8680636711666331,0.9144642244179392,0.667643184585579,0.0887165021156558,0.24682103983236,146817,49630,120,113,True,True,472.6,388.6,0.677385213261955,0.24182764028275405,-0.009742028676375969,0.0049933995496059536
en_ewt,number,logreg_C1,11,0.990011750881316,0.9820211515863688,0.98622235903041,0.975055506445752,0.0079905992949471,0.0111668525846578,24841,8510,35,33,True,True,2.0,1.4,0.9813215038417695,0.006513477552184677,-0.00626599739601752,0.004653375032473123
it_isdt,upos,logreg_C1,11,0.976715852172736,0.8446498675278965,0.8628203867928514,0.6313533707651449,0.1320659846448394,0.2314670160277065,153848,51709,160,176,True,True,591.5,863.9,0.6825533591798919,0.17741634920569505,-0.051199988414747044,0.054050666822011456
it_isdt,number,logreg_C1,11,0.9936299936299936,0.9923559923559924,0.9926304785541492,0.9911524547874948,0.0012740012740012,0.0014780237666546,32289,10989,28,25,True,True,1.0,1.1,0.9899212381771281,0.005338637130575474,0.0012312166103667366,-0.003860613363920874
pl_pdb,upos,logreg_C1,11,0.978748232451504,0.8450597877568952,0.8439556009382165,0.6090861576719443,0.1336884446946088,0.2348694432662722,196499,72841,137,133,True,True,784.9,640.2,0.6220662080359765,0.2825645353426023,-0.012980050364032159,-0.047695092076330076
pl_pdb,number,logreg_C1,11,0.9888079277178664,0.984436024482658,0.98612376615115,0.9806354075275217,0.0043719032352084,0.0054883586236282,50373,17155,48,54,True,True,7.6,5.2,0.981771204134279,0.004645103500447334,-0.0011357966067573333,0.0008432551231808659
