language,task,rank,lemma,n_test_occ,share_T,delta_acc_without,delta_f1_without,shift_acc,shift_f1,floor_label_without,floor_acc_without
en_ewt,upos,1,I,2262,0.04557727181140439,0.09436750548893769,0.23950673705731518,0.0011980515296388106,-0.002320903225438875,NOUN,0.22048640432359398
en_ewt,upos,2,of,2192,0.044166834575861375,0.08994898604494284,0.2389514650179917,-0.00322046791435604,-0.0028761752647623595,NOUN,0.22016105232092414
en_ewt,upos,3,in,1916,0.038605682047148905,0.09588380768747118,0.242960490046095,0.002714353728172303,0.0011328497633409373,NOUN,0.21878274720207905
en_ewt,upos,4,have,1505,0.030324400564174896,0.09331948051948058,0.24301116078579343,0.00015002656018170413,0.0011835205030393814,NOUN,0.2170181818181818
en_ewt,upos,5,you,1295,0.02609308885754584,0.09562428881762697,0.24219470731642068,0.002454834858328092,0.00036706703366662374,NOUN,0.21607530774800868
en_ewt,upos,6,for,1146,0.0230908724561757,0.08914280999917501,0.2407055868320428,-0.004026643960123866,-0.0011220534507112578,NOUN,0.21541126969721971
en_ewt,upos,7,it,972,0.019584928470683053,0.09453738336964113,0.2414997424597748,0.0013679294103422501,-0.00032789782297926173,NOUN,0.21464096345924616
en_ewt,upos,8,with,767,0.0154543622808785,0.09403843398890777,0.24237866594289248,0.0008689800296088901,0.0005510256601384267,NOUN,0.21374045801526717
en_ewt,upos,9,he,601,0.012109611122305058,0.09422994554243402,0.2420684032605075,0.001060491583135148,0.00024076297775343924,NOUN,0.2130167859838055
en_ewt,upos,10,not,597,0.012029014708845456,0.08227112352905186,0.17827691861369666,-0.010898330430247016,-0.0635507216690574,NOUN,0.21299940856158098
en_ewt,number,1,p.m.,92,0.010810810810810811,0.004276550249465383,0.005895958968735959,-0.00042380227697402795,-0.0006175185834487174,Sing,0.7584937039676883
en_ewt,number,2,question,77,0.009048178613396005,0.00462468872287447,0.006480688613147101,-7.56638035649404e-05,-3.278893903757574e-05,Sing,0.7646152021819044
en_ewt,number,3,one,74,0.008695652173913044,0.004148885727833118,0.005739810883151675,-0.0005514667986062927,-0.0007736666690330019,Sing,0.7613798008534851
en_ewt,number,4,group,70,0.008225616921269096,0.004502369668246464,0.006254112369246667,-0.0001979828581929466,-0.0002593651829380095,Sing,0.7622037914691943
en_ewt,number,5,job,69,0.008108108108108109,0.0047387750266555395,0.006552443918323325,3.8422500216128697e-05,3.896636613864857e-05,Sing,0.7603364530268926
en_ewt,number,6,month,67,0.007873090481786135,0.004737652493189581,0.0066069268706298034,3.7299966750170555e-05,9.344931844512683e-05,Sing,0.7632358166528486
en_ewt,number,7,friend,62,0.007285546415981199,0.004734848484848508,0.0066103819830314325,3.449595840909758e-05,9.690443084675593e-05,Sing,0.7636126893939394
en_ewt,number,8,business,60,0.007050528789659225,0.00437869822485204,0.006055025481246146,-0.00032165430158737074,-0.0004584520709385309,Sing,0.7597633136094675
en_ewt,number,9,staff,60,0.007050528789659225,0.00508875739644965,0.0070235722392395505,0.0003884048700102394,0.0005100946870548739,Sing,0.7611834319526627
en_ewt,number,10,car,60,0.007050528789659225,0.004733727810650845,0.006543510729865587,3.337528421143432e-05,3.0033177680910406e-05,Sing,0.7602366863905325
it_isdt,upos,1,il,9622,0.18607979268599276,0.12257941882291445,0.17298565833656143,-0.015462314724437043,-0.004430690869133613,NOUN,0.21724047805735738
