section,statistic,language,task,value,unit,note
Linguistic Preliminaries,closed-class lemma types / lemma types,en_ewt,upos,0.011557545685586349,share,
Linguistic Preliminaries,closed-class tokens / tokens,en_ewt,upos,0.38322822072035745,share,
Linguistic Preliminaries,closed-class lemma types / lemma types,it_isdt,upos,0.014447300771208225,share,
Linguistic Preliminaries,closed-class tokens / tokens,it_isdt,upos,0.34566573706258,share,
Linguistic Preliminaries,closed-class lemma types / lemma types,pl_pdb,upos,0.012048192771084338,share,
Linguistic Preliminaries,closed-class tokens / tokens,pl_pdb,upos,0.28350984850242444,share,
Multilingual Encoders and XLM-R,subwords of 'Kraków',all,all,1.0,count,▁Kraków
Multilingual Encoders and XLM-R,subwords of 'kraków',all,all,2.0,count,▁kra ków
Tasks and Data,three most frequent UPOS tags / tokens,en_ewt,upos,0.4046849041082633,share,"NOUN, PUNCT, VERB"
Tasks and Data,tokens of the least frequent UPOS tag,en_ewt,upos,329.0,count,X
Tasks and Data,Sing / Number targets,en_ewt,number,0.7631603684903178,share,
Tasks and Data,three most frequent UPOS tags / tokens,it_isdt,upos,0.47652717448062726,share,"NOUN, PUNCT, DET"
Tasks and Data,tokens of the least frequent UPOS tag,it_isdt,upos,26.0,count,PART
Tasks and Data,Sing / Number targets,it_isdt,number,0.6965917780286204,share,
Tasks and Data,three most frequent UPOS tags / tokens,pl_pdb,upos,0.5330081432846902,share,"NOUN, PUNCT, VERB"
Tasks and Data,tokens of the least frequent UPOS tag,pl_pdb,upos,21.0,count,SYM
Tasks and Data,Sing / Number targets,pl_pdb,number,0.7350628747404522,share,
Control Task and Selectivity,lemma types with a control label,en_ewt,upos,16526.0,count,
Control Task and Selectivity,lemma types with a control label,en_ewt,number,6036.0,count,
Control Task and Selectivity,lemma types with a control label,it_isdt,upos,19450.0,count,
Control Task and Selectivity,lemma types with a control label,it_isdt,number,6361.0,count,
Control Task and Selectivity,lemma types with a control label,pl_pdb,upos,28137.0,count,
Control Task and Selectivity,lemma types with a control label,pl_pdb,number,11061.0,count,
Representation Extraction,sentences whose rebuilt text differs from # text,en_ewt,all,1.0,count,NO-BREAK SPACE in # text vs SPACE
Representation Extraction,targets whose span covers a differing character,en_ewt,all,0.0,count,
Representation Extraction,sentences whose rebuilt text differs from # text,it_isdt,all,0.0,count,
Representation Extraction,targets whose span covers a differing character,it_isdt,all,0.0,count,
Representation Extraction,sentences whose rebuilt text differs from # text,pl_pdb,all,0.0,count,
Representation Extraction,targets whose span covers a differing character,pl_pdb,all,0.0,count,
Data Volumes,target vectors extracted,all,all,851345.0,count,
Data Volumes,layer-8 representation cache (GB),all,all,2.61533184,GB,float32 vectors of 768 dimensions
Data Volumes,target vectors / all target vectors,en_ewt,all,0.2912896651768672,share,
Data Volumes,Number targets / eligible tokens,en_ewt,number,0.17158894785231543,share,
Data Volumes,target vectors / all target vectors,it_isdt,all,0.3036759480586601,share,
Data Volumes,Number targets / eligible tokens,it_isdt,number,0.21245256891770103,share,
Data Volumes,target vectors / all target vectors,pl_pdb,all,0.4050343867644727,share,
Data Volumes,Number targets / eligible tokens,pl_pdb,number,0.24860798552304944,share,
Data Volumes,|P| = N - (|T| + s),en_ewt,upos,1.0,flag,
Data Volumes,held-out occurrences (|T| + s) / N,en_ewt,upos,0.4079673209994032,share,
Data Volumes,|P| / s,en_ewt,upos,2.848547758095497,ratio,
Data Volumes,|T| / N,en_ewt,upos,0.20013065148313627,share,
Data Volumes,single-occurrence lemmata / lemma types,en_ewt,upos,0.4776715478639719,share,also the Introduction's 'around half' and Threats to Validity
Data Volumes,single-occurrence lemmata / tokens,en_ewt,upos,0.03183218542832718,share,
Data Volumes,|H| / lemma types with two or more occurrences,en_ewt,upos,0.5543327154772938,share,
Data Volumes,"test occurrences per held-out lemma, mean",en_ewt,upos,10.371995820271682,value,also Threats to Validity
Data Volumes,"test occurrences per held-out lemma, median",en_ewt,upos,2.0,value,
Data Volumes,held-out lemmata with one test occurrence / |H|,en_ewt,upos,0.45015673981191223,share,
Data Volumes,test occurrences of the top 1% of held-out lemmata / |T|,en_ewt,upos,0.4695144066089059,share,top 48 lemmata
Data Volumes,largest |reserve - core| label share,en_ewt,upos,0.41112716318587456,pp,
Data Volumes,projected |T| / N before the last held-out lemma was added,en_ewt,upos,0.199590302756585,share,last lemma added: then
Data Volumes,test occurrences of the last held-out lemma added / N,en_ewt,upos,0.0005403487265512847,share,then
Data Volumes,|P| = N - (|T| + s),en_ewt,number,1.0,flag,
Data Volumes,held-out occurrences (|T| + s) / N,en_ewt,number,0.4162201541643166,share,
Data Volumes,|P| / s,en_ewt,number,2.6998152374741875,ratio,
Data Volumes,|T| / N,en_ewt,number,0.19999059973679262,share,
Data Volumes,single-occurrence lemmata / lemma types,en_ewt,number,0.4146785950960901,share,also the Introduction's 'around half' and Threats to Validity
Data Volumes,single-occurrence lemmata / tokens,en_ewt,number,0.058822147020116566,share,
Data Volumes,|H| / lemma types with two or more occurrences,en_ewt,number,0.4800452872912539,share,
Data Volumes,"test occurrences per held-out lemma, mean",en_ewt,number,5.017688679245283,value,also Threats to Validity
Data Volumes,"test occurrences per held-out lemma, median",en_ewt,number,2.0,value,
Data Volumes,held-out lemmata with one test occurrence / |H|,en_ewt,number,0.4227594339622642,share,
Data Volumes,test occurrences of the top 1% of held-out lemmata / |T|,en_ewt,number,0.127262044653349,share,top 17 lemmata
Data Volumes,largest |reserve - core| label share,en_ewt,number,0.20076837528224534,pp,
Data Volumes,smallest class count in T / min_per_class_number,en_ewt,number,20.33,ratio,
Data Volumes,both classes in both training sets,en_ewt,number,1.0,flag,
Data Volumes,projected |T| / N before the last held-out lemma was added,en_ewt,number,0.19992009776273736,share,last lemma added: second
Data Volumes,test occurrences of the last held-out lemma added / N,en_ewt,number,7.050197405527355e-05,share,second
Data Volumes,|P| = N - (|T| + s),it_isdt,upos,1.0,flag,
Data Volumes,held-out occurrences (|T| + s) / N,it_isdt,upos,0.4049192946355011,share,
Data Volumes,|P| / s,it_isdt,upos,2.90410752038659,ratio,
Data Volumes,|T| / N,it_isdt,upos,0.2000092831476059,share,
Data Volumes,single-occurrence lemmata / lemma types,it_isdt,upos,0.482827763496144,share,also the Introduction's 'around half' and Threats to Validity
Data Volumes,single-occurrence lemmata / tokens,it_isdt,upos,0.036324182986311224,share,
Data Volumes,|H| / lemma types with two or more occurrences,it_isdt,upos,0.3267720449348842,share,
Data Volumes,"test occurrences per held-out lemma, mean",it_isdt,upos,15.731365987222391,value,also Threats to Validity
Data Volumes,"test occurrences per held-out lemma, median",it_isdt,upos,2.0,value,
Data Volumes,held-out lemmata with one test occurrence / |H|,it_isdt,upos,0.4396105871615455,share,
Data Volumes,test occurrences of the top 1% of held-out lemmata / |T|,it_isdt,upos,0.6582026339708755,share,top 33 lemmata
Data Volumes,largest |reserve - core| label share,it_isdt,upos,0.27993483654307344,pp,
Data Volumes,projected |T| / N before the last held-out lemma was added,it_isdt,upos,0.199982207300422,share,last lemma added: scandalo
Data Volumes,test occurrences of the last held-out lemma added / N,it_isdt,upos,2.7075847183918494e-05,share,scandalo
Data Volumes,|P| = N - (|T| + s),it_isdt,number,1.0,flag,
Data Volumes,held-out occurrences (|T| + s) / N,it_isdt,number,0.4121363288788552,share,
Data Volumes,|P| / s,it_isdt,number,2.7720638736263736,ratio,
Data Volumes,|T| / N,it_isdt,number,0.20006918399300877,share,
